Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT6,45055.0,7455.0,7605.0,7355.0,7580.0,4322.0,22075.0,2023-05-09
FUT8,45055.0,8280.0,659487.401284839,8197.5,8400.0,250.0,3660.0,2023-05-09
FUT1,45056.0,76.5,76.975,76.425,76.6,459.0,3668.0,2023-05-10
FUT3,45056.0,86.7,87.275,85.925,86.05,20792.0,55293.0,2023-05-10
FUT7,45056.0,80.375,80.575,79.55,79.8,1281.0,10139.0,2023-05-10
FUT8,45056.0,8425.0,8440.0,8360.0,8367.5,172.0,3633.0,2023-05-10
FUT1,45057.0,76.675,76.95,76.55,76.6,821.0,3707.0,2023-05-11
FUT2,45057.0,84.4,85.9,83.4,83.975,30747.0,62457.0,2023-05-11
FUT3,45057.0,86.1,87.3,84.8,85.125,21760.0,61481.0,2023-05-11
FUT6,45057.0,7545.0,7584.999999999999,7345.0,7390.000000000001,4088.0,22233.0,2023-05-11
FUT7,45057.0,79.725,80.225,77.925,78.275,0.0,0.0,2023-05-11
FUT10,45058.0,91.575,91.65,91.125,91.525,26.0,413.0,2023-05-12
FUT11,45058.0,91.7,91.7,91.5,91.5,9.0,2377.716365058315,2023-05-12
FUT2,45058.0,84.35,84.5,83.125,84.125,20634.0,60281.0,2023-05-12
FUT3,45058.0,85.375,85.65,84.125,85.275,0.0,0.0,2023-05-12
FUT4,45058.0,86.45,86.65,85.1,86.025,7321.0,37147.0,2023-05-12
FUT5,45058.0,77.55,77.725,76.7,77.425,3089.0,34816.0,2023-05-12
FUT6,45058.0,7397.499999999999,7430.0,7334.999999999999,7402.500000000001,2329.0,22338.0,2023-05-12
FUT7,45058.0,78.45,78.675,77.625,78.25,748.0,10425.0,2023-05-12
FUT8,45058.0,8220.0,475762.6358943193,8152.500000000001,8230.0,205.0,3594.0,2023-05-12
FUT6,45061.0,7815.000000000001,8072.499999999999,7815.000000000001,8027.500000000001,1127.0,10440.0,2023-05-15
FUT1,45062.0,86.1,87.35,86.075,87.225,23204.0,53960.0,2023-05-16
FUT4,45062.0,78.95,79.95,78.7,79.075,5031.0,34243.0,2023-05-16
FUT7,45062.0,85.075,85.1,83.475,83.725,188.0,3646.0,2023-05-16
FUT10,45063.0,93.075,93.075,93.0,93.0,17.0,67.0,2023-05-17
FUT2,45063.0,88.35,8656.01057841574,84.675,85.425,25868.0,65367.0,2023-05-17
FUT3,45063.0,88.25,88.35,84.05,84.775,15866.0,42956.0,2023-05-17
FUT4,45063.0,79.4,79.625,76.15,76.625,5371.0,34338.0,2023-05-17
FUT5,45063.0,75.75,75.75,73.025,73.475,3448.0,24210.0,2023-05-17
FUT6,45063.0,7965.000000000001,7980.0,7762.5,7807.5,1531.0,10817.0,2023-05-17
FUT7,45063.0,83.9,83.9,82.175,82.475,397.0,3661.0,2023-05-17
FUT3,45064.0,84.625,85.0,82.825,83.825,13156.0,45654.0,2023-05-18
FUT5,45064.0,73.6,74.25,72.575,73.475,-0.0,0.0,2023-05-18
FUT6,45064.0,7800.0,7900.0,7732.5,7827.500000000001,1690.0,10921.0,2023-05-18
FUT10,45065.0,92.625,92.625,92.625,92.625,15.0,75.0,2023-05-19
FUT2,45065.0,84600.0,85750.0,82825.0,83425.0,24088.0,69739.0,2023-05-19
FUT5,45065.0,73.0,6404.873325665159,71.275,71.9,6109.0,24282.0,2023-05-19
FUT9,45065.0,93.3,93.35,92.05,92.525,115.0,498.0,2023-05-19
FUT1,45068.0,83.45,83.825,81.675,81.875,15224.0,32043.0,2023-05-22
FUT10,45068.0,92.15,92.15,91.725,91.725,24.0,90.0,2023-05-22
FUT3,45068.0,81.95,82.2,80.025,80.4,12375.0,50911.0,2023-05-22
FUT5,45068.0,72.0,72.05,70.125,70.475,4016.0,24966.0,2023-05-22
FUT6,45068.0,7720.0,7722.499999999999,7532.5,7572.499999999999,1447.0,11382.0,2023-05-22
FUT1,45069.0,81.825,82.175,79.775,80.425,16559.0,32346.0,2023-05-23
FUT11,45069.0,90.125,90.125,90.125,90.125,5.0,17.0,2023-05-23
FUT2,45069.0,82225.0,82475.0,79725.0,80775.0,24125.0,73521.0,2023-05-23
FUT3,45069.0,80.4,80.675,78.225,80.25,17569.0,51448.0,2023-05-23
FUT4,45069.0,72.875,73.1,71.275,72.725,7095.0,34225.0,2023-05-23
FUT7,45069.0,81.1,81.1,79.625,80.15,328.0,3907.0,2023-05-23
FUT1,45070.0,80.675,81.475,79.4,79.575,11693.0,30809.0,2023-05-24
FUT2,45070.0,80775.0,2146344.823834991,80400.0,80700.0,18407.0,75827.0,2023-05-24
FUT7,45070.0,80.625,80.925,80.45,80.875,299.0,3886.0,2023-05-24
